mode | affinity (kcal/mol) | rmsd l.b. | rmsd u.b.
-----|---------------------|-----------|----------
1    | -6.069              | 0.000     | 0.000
2    | -5.870              | 2.365     | 3.063
3    | -5.828              | 2.913     | 5.494
4    | -5.820              | 2.807     | 5.600
5    | -5.816              | 2.111     | 2.521
6    | -5.754              | 2.779     | 5.771
7    | -5.748              | 2.775     | 5.887
8    | -5.739              | 1.443     | 2.273
9    | -5.619              | 2.740     | 5.787
